id,name,code,currency_code
513,Fountain Valley,1-FV-CA,USD
514,Long Beach,2-LB-CA,USD
515,Tampa,3-TM-FL,USD
516,Washington,4-WC-DC,USD
517,Berkeley,5-BK-CA,USD
518,Detroit,6-DT-MI,USD
519,Edinburg,7-ED-TX,USD
520,Westerville,8-WV-OH,USD
521,Bolingbrook Boughton,10-BL-IL,USD
522,San Antonio,11-SA-TX,USD
523,Dearborn,12-DB-MI,USD
524,Bolingbrook Weber,13-BL-IL,USD
525,Saint Charles,14-SC-IL,USD
526,Orland Park,15-OP-IL,USD
527,Grand Prairie,16-GP-TX,USD
528,Las Vegas,17-VG-NV,USD
529,Canton,18-CN-MI,USD
